MMSI,Vessel Name,Ship Type,Length,Visit Num,Visit Start,Visit End,Visit Duration (hr),Total Stops (SOG<1),Berth Events (>=0.5hr),Berth Total Time (hr),Terminal Berth Detail,Waiting Events (>=0.5hr),Waiting Total Time (hr),Waiting Detail,Non-terminal Duration (hr),Time Since Last Visit (hr),Stops Detail
205136000,CL NOGARO,Cargo,88.0,1,2025-03-08 14:10:18+00:00,2025-03-08 14:22:58+00:00,0.21,0,0,0.0,[],0,0.0,[],0.21,,[]
205136000,CL NOGARO,Cargo,88.0,2,2025-03-10 14:39:56+00:00,2025-03-10 14:52:15+00:00,0.21,0,0,0.0,[],0,0.0,[],0.21,48.28,[]
205136000,CL NOGARO,Cargo,88.0,3,2025-04-11 20:33:08+00:00,2025-04-13 11:47:31+00:00,39.24,1,1,38.8,"[{'berth_start': Timestamp('2025-04-11 20:51:20+0000', tz='UTC'), 'berth_end': Timestamp('2025-04-13 11:39:21+0000', tz='UTC'), 'berth_duration_hr': 38.8}]",0,0.0,[],0.44,773.68,"[{'stop_start': Timestamp('2025-04-11 20:51:20+0000', tz='UTC'), 'stop_end': Timestamp('2025-04-13 11:39:21+0000', tz='UTC'), 'duration_hr': 38.8, 'in_terminal': True}]"
209313000,RIX LAKE,Cargo,82.0,1,2025-01-01 00:02:54+00:00,2025-01-02 15:12:14+00:00,39.16,1,0,0.0,[],1,38.98,"[{'waiting_start': Timestamp('2025-01-01 00:02:54+0000', tz='UTC'), 'waiting_end': Timestamp('2025-01-02 15:01:58+0000', tz='UTC'), 'waiting_duration_hr': 38.98}]",39.16,,"[{'stop_start': Timestamp('2025-01-01 00:02:54+0000', tz='UTC'), 'stop_end': Timestamp('2025-01-02 15:01:58+0000', tz='UTC'), 'duration_hr': 38.98, 'in_terminal': False}]"
209313000,RIX LAKE,Cargo,82.0,2,2025-03-04 01:58:52+00:00,2025-03-05 14:06:45+00:00,36.13,1,1,35.66,"[{'berth_start': Timestamp('2025-03-04 02:16:52+0000', tz='UTC'), 'berth_end': Timestamp('2025-03-05 13:56:45+0000', tz='UTC'), 'berth_duration_hr': 35.66}]",0,0.0,[],0.47,1450.78,"[{'stop_start': Timestamp('2025-03-04 02:16:52+0000', tz='UTC'), 'stop_end': Timestamp('2025-03-05 13:56:45+0000', tz='UTC'), 'duration_hr': 35.66, 'in_terminal': True}]"
209313000,RIX LAKE,Cargo,82.0,3,2025-03-06 16:48:58+00:00,2025-03-06 17:01:16+00:00,0.2,0,0,0.0,[],0,0.0,[],0.2,26.7,[]
209325000,RIX RIVER,Cargo,88.0,1,2025-01-05 09:36:24+00:00,2025-01-05 09:52:24+00:00,0.27,0,0,0.0,[],0,0.0,[],0.27,,[]
209325000,RIX RIVER,Cargo,88.0,2,2025-01-08 01:39:43+00:00,2025-01-08 15:06:19+00:00,13.44,1,0,0.0,[],1,13.04,"[{'waiting_start': Timestamp('2025-01-08 01:51:43+0000', tz='UTC'), 'waiting_end': Timestamp('2025-01-08 14:54:19+0000', tz='UTC'), 'waiting_duration_hr': 13.04}]",13.44,63.79,"[{'stop_start': Timestamp('2025-01-08 01:51:43+0000', tz='UTC'), 'stop_end': Timestamp('2025-01-08 14:54:19+0000', tz='UTC'), 'duration_hr': 13.04, 'in_terminal': False}]"
209332000,RIX PACIFIC,Cargo,90.0,1,2025-01-01 14:02:16+00:00,2025-01-01 14:18:16+00:00,0.27,0,0,0.0,[],0,0.0,[],0.27,,[]
209332000,RIX PACIFIC,Cargo,90.0,2,2025-01-03 15:38:07+00:00,2025-01-03 15:50:18+00:00,0.2,0,0,0.0,[],0,0.0,[],0.2,49.33,[]
