MMSI,Vessel Name,Ship Type,Length,Visit Num,Visit Start,Visit End,Visit Duration (hr),Total Stops (SOG<1),Berth Events (>=0.5hr),Berth Total Time (hr),Terminal Berth Detail,Waiting Events (>=0.5hr),Waiting Total Time (hr),Waiting Detail,Non-terminal Duration (hr),Time Since Last Visit (hr),Stops Detail
209114000,RIX AMETHYST,Cargo,89.0,1,2025-01-26 08:44:43+00:00,2025-01-28 12:29:17+00:00,51.74,2,1,51.37,"[{'berth_start': Timestamp('2025-01-26 09:02:43+0000', tz='UTC'), 'berth_end': Timestamp('2025-01-28 12:25:10+0000', tz='UTC'), 'berth_duration_hr': 51.37}]",0,0.0,[],0.37,,"[{'stop_start': Timestamp('2025-01-26 08:56:43+0000', tz='UTC'), 'stop_end': Timestamp('2025-01-26 08:58:43+0000', tz='UTC'), 'duration_hr': 0.03, 'in_terminal': False}, {'stop_start': Timestamp('2025-01-26 09:02:43+0000', tz='UTC'), 'stop_end': Timestamp('2025-01-28 12:25:10+0000', tz='UTC'), 'duration_hr': 51.37, 'in_terminal': True}]"
209114000,RIX AMETHYST,Cargo,89.0,2,2025-04-09 01:23:38+00:00,2025-04-09 13:58:30+00:00,12.58,2,1,12.04,"[{'berth_start': Timestamp('2025-04-09 01:43:48+0000', tz='UTC'), 'berth_end': Timestamp('2025-04-09 13:46:10+0000', tz='UTC'), 'berth_duration_hr': 12.04}]",0,0.0,[],0.54,1692.91,"[{'stop_start': Timestamp('2025-04-09 01:43:48+0000', tz='UTC'), 'stop_end': Timestamp('2025-04-09 13:46:10+0000', tz='UTC'), 'duration_hr': 12.04, 'in_terminal': True}, {'stop_start': Timestamp('2025-04-09 13:50:20+0000', tz='UTC'), 'stop_end': Timestamp('2025-04-09 13:52:20+0000', tz='UTC'), 'duration_hr': 0.03, 'in_terminal': False}]"
209151000,RIX ATLANTIC,Cargo,88.0,1,2025-02-18 02:13:46+00:00,2025-02-18 02:13:46+00:00,0.0,0,0,0.0,[],0,0.0,[],0.0,,[]
209151000,RIX ATLANTIC,Cargo,88.0,2,2025-03-07 02:47:27+00:00,2025-03-07 02:47:27+00:00,0.0,0,0,0.0,[],0,0.0,[],0.0,408.56,[]
209151000,RIX ATLANTIC,Cargo,88.0,3,2025-04-11 17:57:34+00:00,2025-04-11 17:57:34+00:00,0.0,0,0,0.0,[],0,0.0,[],0.0,855.17,[]
209239000,RIX STAR,Cargo,87.0,1,2025-04-10 13:50:27+00:00,2025-04-11 13:13:18+00:00,23.38,2,1,22.84,"[{'berth_start': Timestamp('2025-04-10 14:12:48+0000', tz='UTC'), 'berth_end': Timestamp('2025-04-11 13:03:08+0000', tz='UTC'), 'berth_duration_hr': 22.84}]",0,0.0,[],0.54,,"[{'stop_start': Timestamp('2025-04-10 14:12:48+0000', tz='UTC'), 'stop_end': Timestamp('2025-04-11 13:03:08+0000', tz='UTC'), 'duration_hr': 22.84, 'in_terminal': True}, {'stop_start': Timestamp('2025-04-11 13:05:09+0000', tz='UTC'), 'stop_end': Timestamp('2025-04-11 13:07:09+0000', tz='UTC'), 'duration_hr': 0.03, 'in_terminal': False}]"
209313000,RIX LAKE,Cargo,82.0,1,2025-03-09 08:07:34+00:00,2025-03-09 08:07:34+00:00,0.0,0,0,0.0,[],0,0.0,[],0.0,,[]
209313000,RIX LAKE,Cargo,82.0,2,2025-03-10 15:16:03+00:00,2025-03-10 15:16:03+00:00,0.0,0,0,0.0,[],0,0.0,[],0.0,31.14,[]
209336000,RIX ALLIANCE,Cargo,88.0,1,2025-04-20 22:03:59+00:00,2025-04-20 22:03:59+00:00,0.0,0,0,0.0,[],0,0.0,[],0.0,,[]
209467000,X-PRESS AGILITY,Cargo,154.0,1,2025-01-12 19:02:51+00:00,2025-01-13 03:21:17+00:00,8.31,1,1,8.0,"[{'berth_start': Timestamp('2025-01-12 19:17:00+0000', tz='UTC'), 'berth_end': Timestamp('2025-01-13 03:17:16+0000', tz='UTC'), 'berth_duration_hr': 8.0}]",0,0.0,[],0.3,,"[{'stop_start': Timestamp('2025-01-12 19:17:00+0000', tz='UTC'), 'stop_end': Timestamp('2025-01-13 03:17:16+0000', tz='UTC'), 'duration_hr': 8.0, 'in_terminal': True}]"
209467000,X-PRESS AGILITY,Cargo,154.0,2,2025-02-06 12:27:32+00:00,2025-02-06 23:30:22+00:00,11.05,1,1,10.71,"[{'berth_start': Timestamp('2025-02-06 12:39:46+0000', tz='UTC'), 'berth_end': Timestamp('2025-02-06 23:22:21+0000', tz='UTC'), 'berth_duration_hr': 10.71}]",0,0.0,[],0.34,585.1,"[{'stop_start': Timestamp('2025-02-06 12:39:46+0000', tz='UTC'), 'stop_end': Timestamp('2025-02-06 23:22:21+0000', tz='UTC'), 'duration_hr': 10.71, 'in_terminal': True}]"
